% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.2,5.0E-8,2.0E-6,2.5868338195459852-0.13838206327466213i,2.5868338195459852,6.871011588468885E-11
3.2,5.0E-8,2.0E-6,2.5868342143401457-0.13838315452938169i,2.5868342143401457,6.871096921663667E-11
3.2,5.0E-8,2.0E-6,2.5899217406412363-0.13779254088088488i,2.5899217406412363,6.864637734483815E-11
3.2,5.0E-8,2.0E-6,2.590008913105419-0.13796504720571848i,2.590008913105419,6.859847391573294E-11
3.2,5.0E-8,2.0E-6,2.5902829478082494-0.04545697308232558i,2.5902829478082494,6.901747652858471E-11
3.2,5.0E-8,2.0E-6,2.5902829697993495-0.04545698760238132i,2.5902829697993495,6.901738235120487E-11
3.2,5.0E-8,2.0E-6,2.592199063917112-0.13751995068712303i,2.592199063917112,6.904781671390789E-11
3.2,5.0E-8,2.0E-6,2.5921993311249443-0.1375207299577839i,2.5921993311249443,6.904905318601196E-11
3.2,5.0E-8,2.0E-6,2.5935397900392116-0.13730413276985862i,2.5935397900392116,6.83548359501022E-11
3.2,5.0E-8,2.0E-6,2.5935399583408194-0.13730465728545635i,2.5935399583408194,6.835766116009474E-11
3.2,5.0E-8,2.0E-6,2.593986516458279-0.13723256718976995i,2.593986516458279,9.964527668634961E-13
3.2,5.0E-8,2.0E-6,2.5955905568440865-0.044417198114752296i,2.5955905568440865,6.756201163689443E-11
3.2,5.0E-8,2.0E-6,2.5957077680247447-0.04453311468261098i,2.5957077680247447,6.728102043041567E-11
3.2,5.0E-8,2.0E-6,2.60018120618547-0.0436475678614706i,2.60018120618547,6.724821109095192E-11
3.2,5.0E-8,2.0E-6,2.600181212268634-0.04364757409115868i,2.600181212268634,6.724833966928506E-11
3.2,5.0E-8,2.0E-6,2.6038836562835432-0.04297127219273803i,2.6038836562835432,6.72218524205353E-11
